Target Distance: 50 , Step Size: 2
0: (x,y) = (0, 0)
1: (x,y) = (-1.28558, -1.53209)
2: (x,y) = (-0.408833, 0.265499)
3: (x,y) = (-1.52722, -1.39258)
4: (x,y) = (0.313791, -0.611114)
5: (x,y) = (1.37363, 1.08498)
6: (x,y) = (3.06973, 2.14482)
7: (x,y) = (1.16761, 1.52679)
8: (x,y) = (0.167613, 3.25884)
9: (x,y) = (-1.645, 4.10407)
10: (x,y) = (0.152585, 4.98082)
11: (x,y) = (1.70688, 3.72218)
12: (x,y) = (2.15678, 5.67092)
13: (x,y) = (0.359191, 6.54766)
14: (x,y) = (0.0463222, 8.52303)
15: (x,y) = (-1.8762, 9.07431)
16: (x,y) = (-2.72144, 7.26169)
17: (x,y) = (-3.95276, 5.68567)
18: (x,y) = (-3.88296, 7.68445)
19: (x,y) = (-1.90243, 7.9628)
20: (x,y) = (-2.28404, 9.92605)
21: (x,y) = (-4.28374, 9.96096)
22: (x,y) = (-6.281, 10.0656)
23: (x,y) = (-7.67031, 8.62695)
24: (x,y) = (-6.82508, 10.4396)
25: (x,y) = (-4.88449, 10.9234)
26: (x,y) = (-3.07187, 10.0782)
27: (x,y) = (-1.07674, 10.2177)
28: (x,y) = (-2.36232, 8.6856)
29: (x,y) = (-3.87174, 7.37348)
30: (x,y) = (-5.87174, 7.37348)
31: (x,y) = (-5.87174, 5.37348)
32: (x,y) = (-7.68435, 4.52824)
33: (x,y) = (-7.00031, 2.64886)
34: (x,y) = (-8.28589, 4.18095)
35: (x,y) = (-10.2346, 3.73105)
36: (x,y) = (-11.1736, 1.96515)
37: (x,y) = (-9.45924, 0.935074)
38: (x,y) = (-7.64662, 0.089838)
39: (x,y) = (-6.38798, -1.46445)
40: (x,y) = (-4.63874, -0.494835)
41: (x,y) = (-6.45136, 0.350402)
42: (x,y) = (-6.38156, 2.34918)
43: (x,y) = (-4.42526, 1.93336)
44: (x,y) = (-5.17448, 3.78773)
45: (x,y) = (-3.24262, 3.27009)
46: (x,y) = (-4.36101, 1.61201)
47: (x,y) = (-4.2215, 3.60714)
48: (x,y) = (-5.73092, 4.91926)
49: (x,y) = (-3.74582, 5.163)
50: (x,y) = (-2.1698, 3.93168)
51: (x,y) = (-4.16858, 3.86188)
52: (x,y) = (-4.5502, 5.82513)
53: (x,y) = (-6.37729, 5.01166)
54: (x,y) = (-5.37729, 3.27961)
55: (x,y) = (-3.59528, 2.37163)
56: (x,y) = (-5.5178, 2.9229)
57: (x,y) = (-4.70433, 1.09581)
58: (x,y) = (-6.64492, 1.57965)
59: (x,y) = (-6.67983, -0.420041)
60: (x,y) = (-8.09404, 0.994172)
61: (x,y) = (-8.12894, 2.99387)
62: (x,y) = (-7.31547, 4.82096)
63: (x,y) = (-9.08137, 5.7599)
64: (x,y) = (-7.16876, 6.34465)
65: (x,y) = (-7.81989, 8.23568)
66: (x,y) = (-5.85028, 7.88839)
67: (x,y) = (-6.2319, 5.92513)
68: (x,y) = (-7.46322, 4.34911)
69: (x,y) = (-6.40338, 2.65301)
70: (x,y) = (-6.29871, 0.655755)
71: (x,y) = (-4.51669, -0.252226)
72: (x,y) = (-6.38386, 0.46451)
73: (x,y) = (-8.36895, 0.708249)
74: (x,y) = (-6.85953, 2.02037)
75: (x,y) = (-6.11032, 3.87473)
76: (x,y) = (-5.52557, 5.78734)
77: (x,y) = (-7.51796, 5.96166)
78: (x,y) = (-5.96367, 4.70301)
79: (x,y) = (-5.78936, 2.71063)
80: (x,y) = (-5.71956, 0.711844)
81: (x,y) = (-6.92319, -0.885428)
82: (x,y) = (-5.01058, -0.300684)
83: (x,y) = (-6.12897, 1.35739)
84: (x,y) = (-6.51058, 3.32065)
85: (x,y) = (-6.06068, 5.26939)
86: (x,y) = (-5.00084, 3.57329)
87: (x,y) = (-6.11923, 5.23136)
88: (x,y) = (-5.77193, 7.20098)
89: (x,y) = (-7.75247, 6.92263)
90: (x,y) = (-5.87308, 7.60667)
91: (x,y) = (-3.96047, 7.02193)
92: (x,y) = (-3.30934, 5.13089)
93: (x,y) = (-4.21732, 3.34888)
94: (x,y) = (-5.47596, 4.90317)
95: (x,y) = (-7.13403, 6.02156)
96: (x,y) = (-9.01342, 6.7056)
97: (x,y) = (-9.22248, 4.71655)
98: (x,y) = (-7.44046, 5.62454)
99: (x,y) = (-7.37066, 3.62575)
100: (x,y) = (-5.47963, 4.27689)
101: (x,y) = (-5.92953, 6.22563)
102: (x,y) = (-4.7259, 7.8229)
103: (x,y) = (-4.7259, 5.8229)
104: (x,y) = (-5.90147, 7.44094)
105: (x,y) = (-5.83167, 5.44215)
106: (x,y) = (-3.83289, 5.37235)
107: (x,y) = (-5.14501, 6.88177)
108: (x,y) = (-4.52697, 8.78389)
109: (x,y) = (-3.32334, 7.18662)
110: (x,y) = (-3.045, 9.16715)
111: (x,y) = (-2.23152, 10.9942)
112: (x,y) = (-1.45006, 12.8353)
113: (x,y) = (0.535031, 13.079)
114: (x,y) = (2.47562, 13.5628)
115: (x,y) = (0.663007, 14.4081)
116: (x,y) = (-1.31753, 14.1297)
117: (x,y) = (-3.30992, 14.304)
118: (x,y) = (-1.45555, 15.0533)
119: (x,y) = (0.0987407, 13.7946)
120: (x,y) = (0.582584, 15.7352)
121: (x,y) = (-0.198878, 13.8942)
122: (x,y) = (-0.0942059, 11.8969)
123: (x,y) = (-0.164005, 13.8957)
124: (x,y) = (0.38727, 11.9732)
125: (x,y) = (1.64591, 10.4189)
126: (x,y) = (0.864448, 8.57789)
127: (x,y) = (-0.421127, 10.11)
128: (x,y) = (-2.41017, 9.90092)
129: (x,y) = (-4.38555, 10.2138)
130: (x,y) = (-3.83427, 12.1363)
131: (x,y) = (-3.18314, 10.2453)
132: (x,y) = (-3.70077, 12.1771)
133: (x,y) = (-1.70565, 12.3166)
134: (x,y) = (-2.8528, 10.6783)
135: (x,y) = (-4.31551, 12.0423)
136: (x,y) = (-5.60108, 13.5744)
137: (x,y) = (-5.42677, 15.5668)
138: (x,y) = (-6.24024, 13.7397)
139: (x,y) = (-4.54415, 12.6799)
140: (x,y) = (-4.02651, 10.748)
141: (x,y) = (-4.16602, 12.7432)
142: (x,y) = (-3.28928, 10.9456)
143: (x,y) = (-4.37856, 9.26823)
144: (x,y) = (-3.56508, 7.44114)
145: (x,y) = (-5.55747, 7.26683)
146: (x,y) = (-7.17551, 6.09126)
147: (x,y) = (-6.08623, 7.7686)
148: (x,y) = (-7.89885, 8.61383)
149: (x,y) = (-7.75933, 6.61871)
150: (x,y) = (-5.87995, 7.30275)
151: (x,y) = (-6.78793, 5.52073)
152: (x,y) = (-5.23364, 4.26209)
153: (x,y) = (-5.47738, 2.277)
154: (x,y) = (-3.62301, 3.02621)
155: (x,y) = (-2.41938, 1.42894)
156: (x,y) = (-4.40447, 1.67268)
157: (x,y) = (-3.88683, 3.60453)
158: (x,y) = (-2.37741, 2.29241)
159: (x,y) = (-0.377717, 2.32732)
160: (x,y) = (-0.342812, 0.327624)
161: (x,y) = (0.174826, -1.60423)
162: (x,y) = (-1.08381, -0.0499359)
163: (x,y) = (-2.97485, -0.701072)
164: (x,y) = (-1.56064, -2.11529)
165: (x,y) = (0.171412, -1.11529)
166: (x,y) = (1.14103, -2.86453)
167: (x,y) = (3.02042, -3.54857)
168: (x,y) = (3.47032, -5.49731)
169: (x,y) = (3.36565, -7.49456)
170: (x,y) = (1.58363, -6.58658)
171: (x,y) = (2.52258, -8.35248)
172: (x,y) = (2.27884, -10.3376)
173: (x,y) = (2.06978, -8.34853)
174: (x,y) = (2.78652, -10.2157)
175: (x,y) = (0.786822, -10.1808)
176: (x,y) = (-1.17643, -10.5624)
177: (x,y) = (-1.03692, -8.56727)
178: (x,y) = (0.894932, -8.04964)
179: (x,y) = (-0.887081, -8.95762)
180: (x,y) = (-1.57112, -10.837)
181: (x,y) = (-1.05348, -12.7689)
182: (x,y) = (-2.08356, -11.0545)
183: (x,y) = (-0.529267, -12.3132)
184: (x,y) = (-2.1473, -11.1376)
185: (x,y) = (-0.245188, -11.7556)
186: (x,y) = (1.7399, -11.9994)
187: (x,y) = (-0.182619, -12.5506)
188: (x,y) = (-0.00830791, -10.5582)
189: (x,y) = (-1.4946, -9.21999)
190: (x,y) = (-3.46421, -9.56728)
191: (x,y) = (-3.0826, -7.60403)
192: (x,y) = (-4.65862, -6.3727)
193: (x,y) = (-4.62371, -8.3724)
194: (x,y) = (-2.6541, -8.0251)
195: (x,y) = (-3.6541, -6.29305)
196: (x,y) = (-5.25137, -7.49668)
197: (x,y) = (-3.46935, -8.40466)
198: (x,y) = (-2.29378, -6.78663)
199: (x,y) = (-3.043, -8.641)
200: (x,y) = (-4.043, -10.373)
201: (x,y) = (-2.05061, -10.5474)
202: (x,y) = (-0.223517, -11.3608)
203: (x,y) = (-0.874653, -13.2519)
204: (x,y) = (1.10072, -13.5647)
205: (x,y) = (0.351511, -15.4191)
206: (x,y) = (-0.678566, -13.7048)
207: (x,y) = (0.939468, -12.5292)
208: (x,y) = (2.44889, -13.8413)
209: (x,y) = (2.83051, -11.8781)
210: (x,y) = (4.82563, -11.7386)
211: (x,y) = (4.40981, -9.78226)
212: (x,y) = (4.99455, -7.86965)
213: (x,y) = (4.02493, -9.61889)
214: (x,y) = (2.49285, -8.33331)
215: (x,y) = (3.27431, -10.1743)
216: (x,y) = (1.78802, -11.5126)
217: (x,y) = (0.149714, -10.3654)
218: (x,y) = (1.93173, -11.2734)
219: (x,y) = (1.65338, -13.2539)
220: (x,y) = (0.0150768, -14.4011)
221: (x,y) = (-1.82593, -13.6196)
222: (x,y) = (-2.24176, -11.6633)
223: (x,y) = (-0.603452, -12.8105)
224: (x,y) = (-1.86209, -11.2562)
225: (x,y) = (-2.64356, -9.41519)
226: (x,y) = (-1.67394, -7.66595)
227: (x,y) = (0.0581149, -6.66595)
228: (x,y) = (-1.91726, -6.35309)
229: (x,y) = (-2.40111, -4.41249)
230: (x,y) = (-0.938398, -3.0485)
231: (x,y) = (0.963715, -3.66653)
232: (x,y) = (0.312579, -5.55757)
233: (x,y) = (-1.61927, -5.03993)
234: (x,y) = (-3.10556, -3.70167)
235: (x,y) = (-3.24508, -5.6968)
236: (x,y) = (-3.55794, -7.67217)
237: (x,y) = (-3.00667, -9.5947)
238: (x,y) = (-5.00667, -9.5947)
239: (x,y) = (-3.08415, -10.146)
240: (x,y) = (-2.36741, -8.27881)
241: (x,y) = (-3.45669, -6.60147)
242: (x,y) = (-4.00796, -8.52399)
243: (x,y) = (-5.98334, -8.83686)
244: (x,y) = (-4.15625, -8.02339)
245: (x,y) = (-3.09641, -9.71949)
246: (x,y) = (-3.94165, -11.5321)
247: (x,y) = (-2.88181, -13.2282)
248: (x,y) = (-1.70624, -11.6102)
249: (x,y) = (0.257016, -11.2285)
250: (x,y) = (1.56913, -12.738)
251: (x,y) = (0.0597151, -11.4258)
252: (x,y) = (-1.2524, -9.91643)
253: (x,y) = (-0.870785, -11.8797)
254: (x,y) = (-1.68426, -13.7068)
255: (x,y) = (-0.174839, -12.3947)
256: (x,y) = (-1.11378, -10.6288)
257: (x,y) = (-0.835436, -8.64822)
258: (x,y) = (0.28295, -6.99015)
259: (x,y) = (-0.433786, -5.12299)
260: (x,y) = (-1.15052, -6.99015)
261: (x,y) = (-1.35958, -5.0011)
262: (x,y) = (-0.29974, -3.30501)
263: (x,y) = (0.70026, -1.57296)
264: (x,y) = (-0.78603, -0.234696)
265: (x,y) = (-2.74233, -0.650519)
266: (x,y) = (-4.60949, 0.0662167)
267: (x,y) = (-5.12712, -1.86563)
268: (x,y) = (-6.1572, -0.1513)
269: (x,y) = (-4.89856, 1.40299)
270: (x,y) = (-5.98784, 3.08033)
271: (x,y) = (-7.47413, 1.74207)
272: (x,y) = (-9.4495, 2.05494)
273: (x,y) = (-9.72785, 4.03548)
274: (x,y) = (-9.48411, 2.05038)
275: (x,y) = (-7.7021, 2.95837)
276: (x,y) = (-9.49969, 2.08162)
277: (x,y) = (-7.60865, 2.73276)
278: (x,y) = (-8.94691, 1.24647)
279: (x,y) = (-10.774, 2.05994)
280: (x,y) = (-11.9776, 3.65721)
281: (x,y) = (-13.1532, 2.03918)
282: (x,y) = (-11.8411, 3.5486)
283: (x,y) = (-10.183, 4.66698)
284: (x,y) = (-12.1317, 4.21708)
285: (x,y) = (-11.0425, 5.89442)
286: (x,y) = (-11.182, 7.88955)
287: (x,y) = (-9.21873, 7.50793)
288: (x,y) = (-10.5043, 5.97585)
289: (x,y) = (-9.21873, 7.50793)
290: (x,y) = (-7.58043, 6.36078)
291: (x,y) = (-6.16621, 7.77499)
292: (x,y) = (-6.58204, 5.8187)
293: (x,y) = (-7.20007, 7.72081)
294: (x,y) = (-8.07681, 5.92322)
295: (x,y) = (-7.07681, 4.19117)
296: (x,y) = (-5.41874, 3.07279)
297: (x,y) = (-7.13307, 4.10286)
298: (x,y) = (-7.0284, 6.10012)
299: (x,y) = (-5.05878, 6.44742)
300: (x,y) = (-6.97139, 7.03216)
